编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,备注
U+612C,愬,,,,,,,,,,,,
U+6141,慁,,,,,,,,,,,,
U+6153,慓,,,,,,,,,,,,
U+615C,慜,,,,,,,,,,,,
U+6160,慠,,,,,,,,,,,,
U+6183,憃,,,,,,,,,,,,
U+618F,憏,,,,,,,,,,,,
U+6193,憓,,,,,,,,,,,,
U+61AF,憯,,,,,,,,,,,,
U+61B1,憱,,,,,,,,,,,,
U+61C1,懁,,,,,,,,,,,,
U+61C6,懆,,,,,,,,,,,,
U+6260,扠,,,,,,,,,,,,
U+6264,扤,,,,,,,,,,,,
U+6286,抆,,,,,,,,,,,,
U+6288,抈,,,,,,,,,,,,
U+628F,抏,,,,,,,,,,,,
U+62B6,抶,,,,,,,,,,,,
U+631C,挜,,,,,,,,,,,,
U+6336,挶,,,,,,,,,,,,
U+633C,挼,,,,,,,,,,,,
U+6358,捘,,,,,,,,,,,,
U+635D,捝,,,,,,,,,,,,
U+6366,捦,,,,,,,,,,,,
U+6374,捴,,,,,,,,,,,,
U+6375,捵,,,,,,,,,,,,
U+63AF,掯,,,,,,,,,,,,
U+63B1,掱,,,,,,,,,,,,
U+63B9,掹,,,,,,,,,,,,
U+63C3,揃,,,,,,,,,,,,
U+63C5,揅,,,,,,,,,,,,
U+63CC,揌,,,,,,,,,,,,
U+63E2,揢,,,,,,,,,,,,
U+63E6,揦,,,,,,,,,,,,
U+63FB,揻,,,,,,,,,,,,
U+63FE,揾,,,,,,,,,,,,
U+6409,搉,,,,,,,,,,,,
U+6415,搕,,,,,,,,,,,,
U+6422,搢,,,,,,,,,,,,
U+6430,搰,,,,,,,,,,,,
U+6433,搳,,,,,,,,,,,,
U+64B4,撴,,,,,,,,,,,,
U+64BD,撽,,,,,,,,,,,,
U+64D6,擖,,,,,,,,,,,,
U+64E9,擩,,,,,,,,,,,,
U+6532,攲,,,,,,,,,,,,
U+6541,敁,,,,,,,,,,,,
U+655A,敚,,,,,,,,,,,,
U+6560,敠,,,,,,,,,,,,
U+6592,斒,,,,,,,,,,,,
U+65A2,斢,,,,,,,,,,,,
U+65A8,斨,,,,,,,,,,,,
U+65BF,斿,,,,,,,,,,,,
U+65C2,旂,,,,,,,,,,,,
U+661A,昚,,,,,,,,,,,,
U+6630,昰,,,,,,,,,,,,
U+666C,晬,,,,,,,,,,,,
U+6679,晹,,,,,,,,,,,,
U+667B,晻,,,,,,,,,,,,
U+668B,暋,,,,,,,,,,,,
U+668D,暍,,,,,,,,,,,,
U+66A0,暠,,,,,,,,,,,,
U+66C0,曀,,,,,,,,,,,,
U+66DA,曚,,,,,,,,,,,,
U+66F6,曶,,,,,,,,,,,,
U+6705,朅,,,,,,,,,,,,
U+6712,朒,,,,,,,,,,,,
U+6718,朘,,,,,,,,,,,,
U+6723,朣,,,,,,,,,,,,
U+675D,杝,,,,,,,,,,,,
U+678A,枊,,,,,,,,,,,,
U+6791,枑,,,,,,,,,,,,
U+6793,枓,,,,,,,,,,,,
U+67BB,枻,,,,,,,,,,,,
U+67C2,柂,,,,,,,,,,,,
U+67CE,柎,,,,,,,,,,,,
U+67EE,柮,,,,,,,,,,,,
U+67F2,柲,,,,,,,,,,,,
U+6818,栘,,,,,,,,,,,,
U+682D,栭,,,,,,,,,,,,
U+6831,栱,,,,,,,,,,,,
U+683F,栿,,,,,,,,,,,,
U+686E,桮,,,,,,,,,,,,
U+6875,桵,,,,,,,,,,,,
U+687C,桼,,,,,,,,,,,,
U+6890,梐,,,,,,,,,,,,
U+68A9,梩,,,,,,,,,,,,
U+68AB,梫,,,,,,,,,,,,
U+68AE,梮,,,,,,,,,,,,
U+68D1,棑,,,,,,,,,,,,
U+68D4,棔,,,,,,,,,,,,
U+6907,椇,,,,,,,,,,,,
U+6925,椥,,,,,,,,,,,,
U+6933,椳,,,,,,,,,,,,
U+695B,楛,,,,,,,,,,,,
U+6962,楢,,,,,,,,,,,,
U+696C,楬,,,,,,,,,,,,
U+698E,榎,,,,,,,,,,,,
U+69A0,榠,,,,,,,,,,,,
U+69A4,榤,,,,,,,,,,,,
U+69A5,榥,,,,,,,,,,,,
U+69BC,榼,,,,,,,,,,,,
U+69BE,榾,,,,,,,,,,,,
U+69C5,槅,,,,,,,,,,,,
U+69E5,槥,,,,,,,,,,,,
U+69F7,槷,,,,,,,,,,,,
U+69FA,槺,,,,,,,,,,,,
U+6A00,樀,,,,,,,,,,,,
U+6A0B,樋,,,,,,,,,,,,
U+6A1B,樛,,,,,,,,,,,,
U+6A64,橤,,,,,,,,,,,,
U+6AB5,檵,,,,,,,,,,,,
U+6ADC,櫜,,,,,,,,,,,,
U+6AF6,櫶,,,,,,,,,,,,
U+6AFC,櫼,,,,,,,,,,,,
U+6B0B,欋,,,,,,,,,,,,
U+6B19,欙,,,,,,,,,,,,
U+6B2C,欬,,,,,,,,,,,,
U+6B3F,欿,,,,,,,,,,,,
U+6B48,歈,,,,,,,,,,,,
U+6B54,歔,,,,,,,,,,,,
U+6B60,歠,,,,,,,,,,,,
U+6BA0,殠,,,,,,,,,,,,
U+6BBD,殽,,,,,,,,,,,,
U+6BD1,毑,,,,,,,,,,,,
U+6BE8,毨,,,,,,,,,,,,
U+6BF0,毰,,,,,,,,,,,,
U+6BF7,毷,,,,,,,,,,,,
U+6BF8,毸,,,,,,,,,,,,
U+6C09,氉,,,,,,,,,,,,
U+6C39,氹,,,,,,,,,,,,
U+6C4D,汍,,,,,,,,,,,,
U+6C4F,汏,,,,,,,,,,,,
U+6C95,沕,,,,,,,,,,,,
U+6CAC,沬,,,,,,,,,,,,
U+6CB4,沴,,,,,,,,,,,,
U+6CB5,沵,,,,,,,,,,,,
U+6CC6,泆,,,,,,,,,,,,
U+6D0F,洏,,,,,,,,,,,,
U+6D1F,洟,,,,,,,,,,,,
U+6D8A,涊,,,,,,,,,,,,
U+6DE9,淩,,,,,,,,,,,,
U+6E62,湢,,,,,,,,,,,,
U+6E66,湦,,,,,,,,,,,,
U+6E67,湧,,,,,,,,,,,,
U+6E68,湨,,,,,,,,,,,,
U+6EC0,滀,,,,,,,,,,,,
U+6EC8,滈,,,,,,,,,,,,
U+6EEE,滮,,,,,,,,,,,,
U+6F18,漘,,,,,,,,,,,,
U+6F27,漧,,,,,,,,,,,,
U+6F53,潓,,,,,,,,,,,,
U+6F5D,潝,,,,,,,,,,,,
U+6F94,澔,,,,,,,,,,,,
U+6FA8,澨,,,,,,,,,,,,
U+6FEC,濬,,,,,,,,,,,,
U+7001,瀁,,,,,,,,,,,,
U+703D,瀽,,,,,,,,,,,,
U+704A,灊,,,,,,,,,,,,
U+707A,灺,,,,,,,,,,,,
U+7081,炁,,,,,,,,,,,,
U+7105,焅,,,,,,,,,,,,
U+712E,焮,,,,,,,,,,,,
U+714F,煏,,,,,,,,,,,,
U+7156,煖,,,,,,,,,,,,
U+715A,煚,,,,,,,,,,,,
U+7163,煣,,,,,,,,,,,,
U+71AF,熯,,,,,,,,,,,,
U+71B8,熸,,,,,,,,,,,,
U+71BA,熺,,,,,,,,,,,,
U+71C2,燂,,,,,,,,,,,,
U+720A,爊,,,,,,,,,,,,
U+7263,牣,,,,,,,,,,,,
U+7277,牷,,,,,,,,,,,,
U+7278,牸,,,,,,,,,,,,
U+7297,犗,,,,,,,,,,,,
U+72BC,犼,,,,,,,,,,,,
U+72CC,狌,,,,,,,,,,,,
U+72D3,狓,,,,,,,,,,,,
U+72D6,狖,,,,,,,,,,,,
U+72FE,狾,,,,,,,,,,,,
U+730B,猋,,,,,,,,,,,,
U+7332,猲,,,,,,,,,,,,
U+7349,獉,,,,,,,,,,,,
U+7355,獕,,,,,,,,,,,,
U+738D,玍,,,,,,,,,,,,
U+738F,玏,,,,,,,,,,,,
U+7397,玗,,,,,,,,,,,,
U+73B5,玵,,,,,,,,,,,,
U+73D3,珓,,,,,,,,,,,,
U+744A,瑊,,,,,,,,,,,,
U+7485,璅,,,,,,,,,,,,
U+74DD,瓝,,,,,,,,,,,,
U+74E9,瓩,,,,,,,,,,,,
U+7503,甃,,,,,,,,,,,,
U+7514,甔,,,,,,,,,,,,
U+7547,畇,,,,,,,,,,,,
U+7551,畑,,,,,,,,,,,,
U+7560,畠,,,,,,,,,,,,
U+758C,疌,,,,,,,,,,,,
U+7595,疕,,,,,,,,,,,,
U+75A7,疧,,,,,,,,,,,,
U+75BB,疻,,,,,,,,,,,,
U+75C1,痁,,,,,,,,,,,,
U+75CE,痎,,,,,,,,,,,,
U+75CF,痏,,,,,,,,,,,,
U+75D7,痗,,,,,,,,,,,,
U+75E1,痡,,,,,,,,,,,,
U+75EF,痯,,,,,,,,,,,,
U+75F3,痳,,,,,,,,,,,,
U+7604,瘄,,,,,,,,,,,,
U+7608,瘈,,,,,,,,,,,,
U+760F,瘏,,,,,,,,,,,,
U+761C,瘜,,,,,,,,,,,,
U+761D,瘝,,,,,,,,,,,,
U+7659,癙,,,,,,,,,,,,
U+7683,皃,,,,,,,,,,,,
U+769D,皝,,,,,,,,,,,,
U+76A0,皠,,,,,,,,,,,,
U+76DD,盝,,,,,,,,,,,,
U+76E9,盩,,,,,,,,,,,,
U+76EC,盬,,,,,,,,,,,,
U+76ED,盭,,,,,,,,,,,,
U+76FB,盻,,,,,,,,,,,,
U+771C,眜,,,,,,,,,,,,
U+773D,眽,,,,,,,,,,,,
U+7745,睅,,,,,,,,,,,,
U+7746,睆,,,,,,,,,,,,
U+774A,睊,,,,,,,,,,,,
U+774B,睋,,,,,,,,,,,,
U+7756,睖,,,,,,,,,,,,
U+775F,睟,,,,,,,,,,,,
U+7769,睩,,,,,,,,,,,,
U+777A,睺,,,,,,,,,,,,
U+77DF,矟,,,,,,,,,,,,
U+77F1,矱,,,,,,,,,,,,
U+7822,砢,,,,,,,,,,,,
U+7860,硠,,,,,,,,,,,,
U+7875,硵,,,,,,,,,,,,
U+7894,碔,,,,,,,,,,,,
U+78AB,碫,,,,,,,,,,,,
U+78C8,磈,,,,,,,,,,,,
U+78CE,磎,,,,,,,,,,,,
U+7903,礃,,,,,,,,,,,,
U+7933,礳,,,,,,,,,,,,
U+793D,礽,,,,,,,,,,,,
U+7954,祔,,,,,,,,,,,,
U+796B,祫,,,,,,,,,,,,
U+7996,禖,,,,,,,,,,,,
U+79A5,禥,,,,,,,,,,,,
U+79AB,禫,,,,,,,,,,,,
U+7A16,稖,,,,,,,,,,,,
U+7A28,稨,,,,,,,,,,,,
U+7A40,穀,,,,,,,,,,,,
U+7A4A,穊,,,,,,,,,,,,
U+7A6E,穮,,,,,,,,,,,,
U+7A75,穵,,,,,,,,,,,,
U+7A8C,窌,,,,,,,,,,,,
U+7ABE,窾,,,,,,,,,,,,
U+7ADC,竜,,,,,,,,,,,,
U+7B22,笢,,,,,,,,,,,,
U+7B2D,笭,,,,,,,,,,,,
U+7B34,笴,,,,,,,,,,,,
U+7B48,筈,,,,,,,,,,,,
U+7B4A,筊,,,,,,,,,,,,
U+7B6D,筭,,,,,,,,,,,,
U+7B84,箄,,,,,,,,,,,,
U+7B91,箑,,,,,,,,,,,,
U+7B99,箙,,,,,,,,,,,,
U+7BA3,箣,,,,,,,,,,,,
U+7BAF,箯,,,,,,,,,,,,
U+7BB5,箵,,,,,,,,,,,,
U+7BC5,篅,,,,,,,,,,,,
U+7BE8,篨,,,,,,,,,,,,
U+7BF0,篰,,,,,,,,,,,,
U+7C28,簨,,,,,,,,,,,,
U+7C5D,籝,,,,,,,,,,,,
U+7C67,籧,,,,,,,,,,,,
U+7C70,籰,,,,,,,,,,,,
U+7C79,籹,,,,,,,,,,,,
U+7C94,粔,,,,,,,,,,,,
U+7F3F,缿,,,,,,,,,,,,
U+7F5B,罛,,,,,,,,,,,,
U+7F5D,罝,,,,,,,,,,,,
U+7F63,罣,,,,,,,,,,,,
U+7F65,罥,,,,,,,,,,,,
U+7F66,罦,,,,,,,,,,,,
U+7F6D,罭,,,,,,,,,,,,
U+7F73,罳,,,,,,,,,,,,
U+7F7B,罻,,,,,,,,,,,,
U+7F7F,罿,,,,,,,,,,,,
U+800E,耎,,,,,,,,,,,,
U+8032,耲,,,,,,,,,,,,
U+808F,肏,,,,,,,,,,,,
U+80D4,胔,,,,,,,,,,,,
U+80F5,胵,,,,,,,,,,,,
U+80F9,胹,,,,,,,,,,,,
U+80FE,胾,,,,,,,,,,,,
U+811D,脝,,,,,,,,,,,,
U+8121,脡,,,,,,,,,,,,
U+8122,脢,,,,,,,,,,,,
U+8126,脦,,,,,,,,,,,,
U+8130,脰,,,,,,,,,,,,
U+8164,腤,,,,,,,,,,,,
U+8177,腷,,,,,,,,,,,,
U+8187,膇,,,,,,,,,,,,
U+818D,膍,,,,,,,,,,,,
U+8197,膗,,,,,,,,,,,,
U+81B0,膰,,,,,,,,,,,,
