编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,繁体,备注,现汉收录,新华收录
U+30D7C,𰵼,,,,,,,,,,,,謋,,,✓
U+30DE0,𰷠,,,,,,,,,,,,貤,,✓,
U+30DE5,𰷥,,,,,,,✓,𰷥人,,,,賨,,✓,✓
U+310A8,𱂨,,,,,,,,,,,,頞,,✓,✓
U+310B1,𱂱,,,,,,,,,,,,顑,,✓,✓
U+310FA,𱃺,,,,,,,,,,,,餂,,✓,
U+31148,𱅈,,,,,,,,,,,,駜,,✓,
U+3114B,𱅋,,,,,,,,,,,,駬,,✓,✓
U+311E3,𱇣,,,,,,,,,,,,鱍,,✓,
U+31254,𱉔,,,,,,,,,,,,鴂,,✓,
U+31275,𱉵,,,,,✓,𱉵𬸩,,,,,,鶆,,✓,
U+31283,𱊃,,,,,,,,,,,,鵹,,✓,
U+31288,𱊈,,,,,,,,,,,,鶂,,✓,
U+31E07,𱸇,,,,,✓,𥯨𱸇竹,,,,,,簩,,✓,
